,ANO,MES,EMPRESA,ORIGEM,DESTINO,TARIFA,ASSENTOS,cidade_origem,UF_origem,lat_origem,lon_origem,cidade_destino,UF_destino,lat_destino,lon_destino,Sigla_origem,Reg_origem,Sigla_destino,Reg_destino,DISTANCIA
13085437,2022,4,GLO,SBGL,SBAR,1118.9,4,Rio De Janeiro,Rio-de-Janeiro,-22.8099994659,-43.2505569458,Aracaju,Sergipe,-10.984000206,-37.0703010559,RJ,Sudeste,SE,Nordeste,1470.0085405342518
5076010,2021,11,GLO,SBBR,SBEG,418.5,1,Brasilia,Federal-District,-15.8691673279,-47.9208335876,Manaus,Amazonas,-3.0386099815,-60.0497016907,DF,Centro-Oeste,AM,Norte,1949.2216882674197
5804661,2021,3,AZU,SBKP,SBTE,1444.9,5,Campinas,Sao-Paulo,-23.0074005127,-47.1344985962,Teresina,Piaui,-5.0599398613,-42.8235015869,SP,Sudeste,PI,Nordeste,2049.264167241635
4699853,2019,2,GLO,SBCF,SBCY,427.9,1,Belo Horizonte,Minas-Gerais,-19.6244430542,-43.9719429016,Cuiaba,Mato-Grosso,-15.6528997421,-56.1166992188,MG,Sudeste,MT,Centro-Oeste,1360.5072617330352
1925430,2021,9,GLO,SBSV,SBGR,1087.7,1,Salvador,Bahia,-12.9086112976,-38.3224983215,Sao Paulo,Sao-Paulo,-23.4355564117,-46.4730567932,BA,Nordeste,SP,Sudeste,1452.617903639832
3015443,2019,6,TAM,SBEG,SBBE,695.89,1,Manaus,Amazonas,-3.0386099815,-60.0497016907,Belem,Para,-1.3792500496,-48.4762992859,AM,Norte,PA,Norte,1299.4770403101036
4637986,2019,2,AZU,SBPA,SBBW,449.38,1,Porto Alegre,Rio-Grande-do-Sul,-29.9944000244,-51.1713981628,Barra Do Garcas,Mato-Grosso,-15.8613004684,-52.3889007568,RS,Sul,MT,Centro-Oeste,1576.9237567742523
10908944,2020,3,AZU,SBRJ,SBBR,403.83,4,Rio De Janeiro,Rio-de-Janeiro,-22.9104995728,-43.1631011963,Brasilia,Federal-District,-15.8691673279,-47.9208335876,RJ,Sudeste,DF,Centro-Oeste,928.5217663796489
13137488,2022,4,TAM,SBGO,SBMA,625.9,1,Goiania,Goias,-16.6319999695,-49.2206993103,Maraba,Para,-5.3685898781,-49.1380004883,GO,Centro-Oeste,PA,Norte,1252.859648475582
11217362,2019,12,AZU,SBRF,SBFN,504.9,1,Recife,Pernambuco,-8.1264896393,-34.9235992432,Fernando De Noronha,Pernambuco,-3.854929924,-32.4233016968,PE,Nordeste,PE,Nordeste,549.7347696112771
3685718,2019,8,GLO,SBFL,SBRJ,1058.9,1,Florianopolis,Santa Catarina,-27.6702785492,-48.5525016785,Rio De Janeiro,Rio-de-Janeiro,-22.9104995728,-43.1631011963,SC,Sul,RJ,Sudeste,757.4592025167987
8104455,2021,7,TAM,SBSP,SBCY,364.9,6,Sao Paulo,Sao-Paulo,-23.6261100769,-46.6563873291,Cuiaba,Mato-Grosso,-15.6528997421,-56.1166992188,SP,Sudeste,MT,Centro-Oeste,1329.0075071626547
8874335,2022,1,AZU,SBIZ,SBFI,841.9,1,Imperatriz,Maranhao,-5.5312900543,-47.4599990845,Foz Do Iguacu,Parana,-25.6002788544,-54.4850006104,MA,Nordeste,PR,Sul,2354.233052557235
12003378,2020,1,AZU,SBEG,SBGR,830.9,4,Manaus,Amazonas,-3.0386099815,-60.0497016907,Sao Paulo,Sao-Paulo,-23.4355564117,-46.4730567932,AM,Norte,SP,Sudeste,2698.309675969849
3851936,2019,8,TAM,SBRP,SBPA,1339.0,1,Ribeirao Preto,Sao-Paulo,-21.1363887787,-47.7766685486,Porto Alegre,Rio-Grande-do-Sul,-29.9944000244,-51.1713981628,SP,Sudeste,RS,Sul,1042.3035473274385
5092910,2021,11,GLO,SBBV,SBFZ,1304.46,1,Boa Vista,Roraima,2.8413889408,-60.6922225952,Fortaleza,Ceara,-3.7762799263,-38.5326004028,RR,Norte,CE,Nordeste,2570.978034567391
4267427,2019,7,AZU,SBGO,SBCY,851.9,1,Goiania,Goias,-16.6319999695,-49.2206993103,Cuiaba,Mato-Grosso,-15.6528997421,-56.1166992188,GO,Centro-Oeste,MT,Centro-Oeste,744.759040804094
7112634,2022,6,AZU,SSGG,SBCF,634.9,1,Porto Murtinho,Mato-Grosso-do-Sul,-21.0277786255,-57.4972229004,Belo Horizonte,Minas-Gerais,-19.6244430542,-43.9719429016,MS,Centro-Oeste,MG,Sudeste,1418.9008350341924
12077425,2020,1,AZU,SBRJ,SBLO,492.9,2,Rio De Janeiro,Rio-de-Janeiro,-22.9104995728,-43.1631011963,Londrina,Parana,-23.3335990906,-51.1301002502,RJ,Sudeste,PR,Sul,816.2360445832362
13854558,2022,2,TAM,SBGR,SBCY,82.98,3,Sao Paulo,Sao-Paulo,-23.4355564117,-46.4730567932,Cuiaba,Mato-Grosso,-15.6528997421,-56.1166992188,SP,Sudeste,MT,Centro-Oeste,1329.9505903956535
4422520,2019,7,GLO,SBSP,SBPA,734.14,3,Sao Paulo,Sao-Paulo,-23.6261100769,-46.6563873291,Porto Alegre,Rio-Grande-do-Sul,-29.9944000244,-51.1713981628,SP,Sudeste,RS,Sul,838.0125574034981
8739505,2021,6,PTB,SWLB,SBEG,989.99,6,Labrea,Amazonas,-7.2789697647,-64.7695007324,Manaus,Amazonas,-3.0386099815,-60.0497016907,AM,Norte,AM,Norte,704.0647636602318
9127157,2022,1,TAM,SBSV,SBRJ,494.35,2,Salvador,Bahia,-12.9086112976,-38.3224983215,Rio De Janeiro,Rio-de-Janeiro,-22.9104995728,-43.1631011963,BA,Nordeste,RJ,Sudeste,1224.4447805961129
2445908,2019,9,AZU,SBCF,SBNF,642.24,2,Belo Horizonte,Minas-Gerais,-19.6244430542,-43.9719429016,Navegantes,Santa Catarina,-26.8799991608,-48.6514015198,MG,Sudeste,SC,Sul,937.8178605866717
13451675,2019,3,ONE,SBSP,SBRJ,667.26,1,Sao Paulo,Sao-Paulo,-23.6261100769,-46.6563873291,Rio De Janeiro,Rio-de-Janeiro,-22.9104995728,-43.1631011963,SP,Sudeste,RJ,Sudeste,365.70940508329494
9477920,2020,8,AZU,SBFL,SBCF,1159.9,1,Florianopolis,Santa Catarina,-27.6702785492,-48.5525016785,Belo Horizonte,Minas-Gerais,-19.6244430542,-43.9719429016,SC,Sul,MG,Sudeste,1009.0343705487728
445422,2019,10,AZU,SBSV,SBCY,396.9,2,Salvador,Bahia,-12.9086112976,-38.3224983215,Cuiaba,Mato-Grosso,-15.6528997421,-56.1166992188,BA,Nordeste,MT,Centro-Oeste,1941.537252608697
8826208,2022,1,AZU,SBAE,SBCF,788.9,2,Bauru,Sao-Paulo,-22.15778,-49.06833,Belo Horizonte,Minas-Gerais,-19.6244430542,-43.9719429016,SP,Sudeste,MG,Sudeste,599.8272884251369
3613823,2019,8,AZU,SBPF,SBSR,396.9,2,Passo Fundo,Rio-Grande-do-Sul,-28.2439994812,-52.3265991211,Sao Jose Do Rio Preto,Sao-Paulo,-20.8166007996,-49.40650177,RS,Sul,SP,Sudeste,877.2860944190274
3096303,2019,4,AZU,SBBR,SBCT,155.9,12,Brasilia,Federal-District,-15.8691673279,-47.9208335876,Curitiba,Parana,-25.5284996033,-49.1758003235,DF,Centro-Oeste,PR,Sul,1082.285187714323
3813638,2019,8,TAM,SBGR,SBGO,323.9,39,Sao Paulo,Sao-Paulo,-23.4355564117,-46.4730567932,Goiania,Goias,-16.6319999695,-49.2206993103,SP,Sudeste,GO,Centro-Oeste,809.313185030682
9913519,2021,8,GLO,SBCH,SBFZ,519.9,4,Chapeco,Santa Catarina,-27.1341991425,-52.6566009521,Fortaleza,Ceara,-3.7762799263,-38.5326004028,SC,Sul,CE,Nordeste,3000.4678700839786
9438554,2020,9,TAM,SBVT,SBRJ,86.46,21,Vitoria,Espirito-Santo,-20.2580566406,-40.2863883972,Rio De Janeiro,Rio-de-Janeiro,-22.9104995728,-43.1631011963,ES,Sudeste,RJ,Sudeste,418.98294593322345
11346138,2019,12,TAM,SBBE,SBEG,549.9,27,Belem,Para,-1.3792500496,-48.4762992859,Manaus,Amazonas,-3.0386099815,-60.0497016907,PA,Norte,AM,Norte,1299.4770403101036
9720178,2020,8,TAM,SBRB,SBRF,465.44,2,Rio Branco,Acre,-9.868888855,-67.8980560303,Recife,Pernambuco,-8.1264896393,-34.9235992432,AC,Norte,PE,Nordeste,3626.3784115541425
5317693,2021,11,GLO,SBSV,SBBR,1507.14,1,Salvador,Bahia,-12.9086112976,-38.3224983215,Brasilia,Federal-District,-15.8691673279,-47.9208335876,BA,Nordeste,DF,Centro-Oeste,1085.0934210184275
9503305,2020,8,AZU,SBKP,SBMO,732.9,1,Campinas,Sao-Paulo,-23.0074005127,-47.1344985962,Maceio,Alagoas,-9.5108098984,-35.7916984558,SP,Sudeste,AL,Nordeste,1926.5929663159077
6477201,2021,4,AZU,SBLO,SBVT,584.9,2,Londrina,Parana,-23.3335990906,-51.1301002502,Vitoria,Espirito-Santo,-20.2580566406,-40.2863883972,PR,Sul,ES,Sudeste,1170.59180599238
10688126,2021,12,TAM,SBCT,SBPJ,332.0,1,Curitiba,Parana,-25.5284996033,-49.1758003235,Palmas,Tocantins,-10.2915000916,-48.3569984436,PR,Sul,TO,Norte,1697.0059634863926
7548499,2020,10,AZU,SBNF,SBSV,257.02,1,Navegantes,Santa Catarina,-26.8799991608,-48.6514015198,Salvador,Bahia,-12.9086112976,-38.3224983215,SC,Sul,BA,Nordeste,1890.415254978295
